onet_soc,soc_6digit,census_2010,matched
47-2073.00,47-2073,6260.0,True
47-2081.00,47-2081,6330.0,True
47-2082.00,47-2082,6330.0,True
47-2111.00,47-2111,6355.0,True
47-2121.00,47-2121,6360.0,True
47-2131.00,47-2131,6400.0,True
47-2132.00,47-2132,6400.0,True
47-2141.00,47-2141,6400.0,True
47-2142.00,47-2142,6400.0,True
47-2151.00,47-2151,6440.0,True
47-2152.00,47-2152,6440.0,True
47-2152.04,47-2152,6440.0,True
47-2161.00,47-2161,6460.0,True
47-2171.00,47-2171,6500.0,True
47-2181.00,47-2181,6515.0,True
47-2211.00,47-2211,6520.0,True
47-2221.00,47-2221,6530.0,True
47-2231.00,47-2231,6540.0,True
47-3011.00,47-3011,6600.0,True
47-3012.00,47-3012,6600.0,True
47-3013.00,47-3013,6600.0,True
47-3014.00,47-3014,6600.0,True
47-3015.00,47-3015,6600.0,True
47-3016.00,47-3016,6600.0,True
47-4011.00,47-4011,6660.0,True
47-4011.01,47-4011,6660.0,True
47-4021.00,47-4021,6700.0,True
47-4031.00,47-4031,6710.0,True
47-4041.00,47-4041,6720.0,True
47-4051.00,47-4051,6730.0,True
47-4061.00,47-4061,6740.0,True
47-4071.00,47-4071,6750.0,True
47-4091.00,47-4091,6765.0,True
47-4099.03,47-4099,6765.0,True
47-5011.00,47-5011,6800.0,True
47-5012.00,47-5012,6800.0,True
47-5013.00,47-5013,6800.0,True
47-5022.00,47-5022,9510.0,True
47-5023.00,47-5023,6820.0,True
47-5032.00,47-5032,6830.0,True
47-5041.00,47-5041,6830.0,True
47-5043.00,47-5043,6830.0,True
47-5044.00,47-5044,6830.0,True
47-5051.00,47-5051,6800.0,True
47-5071.00,47-5071,6920.0,True
47-5081.00,47-5081,6800.0,True
49-1011.00,49-1011,7000.0,True
49-2011.00,49-2011,7010.0,True
49-2021.00,49-2021,7020.0,True
49-2022.00,49-2022,7020.0,True
49-2091.00,49-2091,7030.0,True
49-2092.00,49-2092,7040.0,True
49-2093.00,49-2093,7050.0,True
49-2094.00,49-2094,7010.0,True
49-2095.00,49-2095,7010.0,True
49-2096.00,49-2096,7110.0,True
49-2097.00,49-2097,7120.0,True
49-2098.00,49-2098,7130.0,True
49-3011.00,49-3011,7140.0,True
49-3021.00,49-3021,7150.0,True
49-3022.00,49-3022,7160.0,True
49-3023.00,49-3023,7200.0,True
49-3031.00,49-3031,7210.0,True
49-3041.00,49-3041,7220.0,True
49-3042.00,49-3042,7220.0,True
49-3043.00,49-3043,7220.0,True
49-3051.00,49-3051,7240.0,True
49-3052.00,49-3052,7240.0,True
49-3053.00,49-3053,7240.0,True
49-3091.00,49-3091,7260.0,True
49-3092.00,49-3092,7260.0,True
49-3093.00,49-3093,7260.0,True
49-9011.00,49-9011,7300.0,True
49-9012.00,49-9012,7300.0,True
49-9021.00,49-9021,7315.0,True
49-9031.00,49-9031,7320.0,True
49-9041.00,49-9041,7300.0,True
49-9043.00,49-9043,7350.0,True
49-9044.00,49-9044,7360.0,True
49-9045.00,49-9045,7300.0,True
49-9051.00,49-9051,7410.0,True
49-9052.00,49-9052,7420.0,True
49-9061.00,49-9061,7430.0,True
49-9062.00,49-9062,7430.0,True
49-9063.00,49-9063,7430.0,True
49-9064.00,49-9064,7430.0,True
49-9071.00,49-9071,7340.0,True
49-9081.00,49-9081,7440.0,True
49-9091.00,49-9091,7510.0,True
49-9092.00,49-9092,7520.0,True
49-9094.00,49-9094,7540.0,True
49-9095.00,49-9095,7550.0,True
49-9096.00,49-9096,7560.0,True
49-9097.00,49-9097,7300.0,True
49-9098.00,49-9098,7610.0,True
49-9099.01,49-9099,7300.0,True
51-1011.00,51-1011,7700.0,True
