occ_code,title,zone,cert_importance,cert_normalized
29-1071.01,Anesthesiologist Assistants,5,2.615,1.5452196382428942
29-1081.00,Podiatrists,5,4.7,3.7002583979328163
29-1122.00,Occupational Therapists,5,4.36,3.3488372093023258
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",5,4.3,3.286821705426356
29-1123.00,Physical Therapists,5,4.27,3.2558139534883717
29-1124.00,Radiation Therapists,3,2.615,1.5452196382428942
29-1125.00,Recreational Therapists,4,4.49,3.483204134366925
29-1126.00,Respiratory Therapists,3,2.615,1.5452196382428942
29-1127.00,Speech-Language Pathologists,5,4.99,4.0
29-1128.00,Exercise Physiologists,4,4.09,3.069767441860465
29-1129.01,Art Therapists,5,4.19,3.1731266149870803
29-1129.02,Music Therapists,4,4.77,3.7726098191214463
