SOC_2018,Census_2010,Census_2018,Title_2018
49-3023,7200,7200,Automotive Service Technicians and Mechanics
49-3031,7210,7210,Bus and Truck Mechanics and Diesel Engine Specialists
49-3040,7220,7220,Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics
49-3050,7240,7240,Small Engine Mechanics
49-3090,7260,7260,"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers"
49-9010,7300,7300,Control and Valve Installers and Repairers
49-9021,7315,7315,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
49-9031,7320,7320,Home Appliance Repairers
49-904X,7330,7330,Industrial and Refractory Machinery Mechanics
49-9071,7340,7340,"Maintenance and Repair Workers, General"
49-9043,7350,7350,"Maintenance Workers, Machinery"
49-9044,7360,7360,Millwrights
49-9051,7410,7410,Electrical Power-Line Installers and Repairers
49-9052,7420,7420,Telecommunications Line Installers and Repairers
49-9060,7430,7430,Precision Instrument and Equipment Repairers
49-9081,7440,7440,Wind Turbine Service Technicians
49-9091,7510,7510,"Coin, Vending, and Amusement Machine Servicers and Repairers"
49-9092,7520,7520,Commercial Divers
49-9094,7540,7540,Locksmiths and Safe Repairers
49-9095,7550,7550,Manufactured Building and Mobile Home Installers
49-9096,7560,7560,Riggers
49-9098,7610,7610,"Helpers--Installation, Maintenance, and Repair Workers"
49-909X,7610,7640,"Other Installation, Maintenance, and Repair Workers"
51-1011,7700,7700,First-Line Supervisors of Production and Operating Workers
51-2011,7710,7710,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
51-2020,7720,7720,"Electrical, Electronics, and Electromechanical Assemblers"
51-2031,7730,7730,Engine and Other Machine Assemblers
51-2041,7740,7740,Structural Metal Fabricators and Fitters
51-20XX,7750,7750,Other Assemblers and Fabricators
51-3011,7800,7800,Bakers
51-3020,7810,7810,"Butchers and Other Meat, Poultry, and Fish Processing Workers"
51-3091,7830,7830,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
51-3092,7840,7840,Food Batchmakers
51-3093,7850,7850,Food Cooking Machine Operators and Tenders
51-3099,7855,7855,"Food Processing Workers, All Other"
51-9160,7900,7905,Computer numerically controlled tool operators and programmers
51-4020,7900,7925,"Forming Machine Setters, Operators, and Tenders, Metal and Plastic"
51-4031,7950,7950,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
51-4033,8000,8000,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
51-403X,8000,8025,"Other Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
51-4041,8030,8030,Machinists
51-4050,8040,8040,"Metal Furnace Operators, Tenders, Pourers, and Casters"
51-4060,8060,8060,"Model Makers and Patternmakers, Metal and Plastic"
51-4070,8100,8100,"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic"
51-4111,8130,8130,Tool and Die Makers
51-4120,8140,8140,"Welding, Soldering, and Brazing Workers"
51-4XXX,8140,8225,Other Metal Workers and Plastic Workers
51-5111,8250,8250,Prepress Technicians and Workers
51-5112,8255,8255,Printing Press Operators
51-5113,8256,8256,Print Binding and Finishing Workers
51-6011,8300,8300,Laundry and Dry-Cleaning Workers
51-6021,8310,8310,"Pressers, Textile, Garment, and Related Materials"
51-6031,8320,8320,Sewing Machine Operators
51-6040,8320,8335,Shoe and Leather Workers
51-6050,8350,8350,"Tailors, Dressmakers, and Sewers"
51-6060,8350,8365,"Textile Machine Setters, Operators, and Tenders"
51-6093,8450,8450,Upholsterers
51-609X,8450,8465,"Other Textile, Apparel, and Furnishings Workers"
51-7011,8500,8500,Cabinetmakers and Bench Carpenters
51-7021,8510,8510,Furniture Finishers
51-7041,8530,8530,"Sawing Machine Setters, Operators, and Tenders, Wood"
51-7042,8540,8540,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
51-70XX,8540,8555,Other Woodworkers
51-8010,8600,8600,"Power Plant Operators, Distributors, and Dispatchers"
51-8021,8610,8610,Stationary Engineers and Boiler Operators
51-8031,8620,8620,Water and Wastewater Treatment Plant and System Operators
51-8090,8630,8630,Miscellaneous Plant and System Operators
51-9010,8640,8640,"Chemical Processing Machine Setters, Operators, and Tenders"
51-9020,8650,8650,"Crushing, Grinding, Polishing, Mixing, and Blending Workers"
51-9030,8710,8710,Cutting Workers
51-9041,8720,8720,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
51-9051,8730,8730,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
51-9061,8740,8740,"Inspectors, Testers, Sorters, Samplers, and Weighers"
51-9071,8750,8750,Jewelers and Precious Stone and Metal Workers
51-9080,8760,8760,Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians
51-9111,8800,8800,Packaging and Filling Machine Operators and Tenders
51-9120,8810,8810,Painting Workers
51-9151,8830,8830,Photographic Process Workers and Processing Machine Operators
51-9191,8850,8850,Adhesive Bonding Machine Operators and Tenders
51-9194,8910,8910,Etchers and Engravers
51-9195,8920,8920,"Molders, Shapers, and Casters, Except Metal and Plastic"
51-9196,8930,8930,"Paper Goods Machine Setters, Operators, and Tenders"
51-9197,8940,8940,Tire Builders
51-9198,8950,8950,Helpers--Production Workers
51-919X,8950,8865,Other Production Equipment Operators and Tenders
51-91XX,8900,8990,Other Production Workers
53-1000,9000,9005,Supervisors of Transportation and Material Moving Workers
53-2010,9030,9030,Aircraft Pilots and Flight Engineers
53-2020,9040,9040,Air Traffic Controllers and Airfield Operations Specialists
53-2031,9050,9050,Flight Attendants
53-3011,9110,9110,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
53-3051,9120,9121,"Bus Drivers, School"
53-3052,9120,9122,"Bus Drivers, Transit and Intercity"
