occ1990dd,csh,rti
163,-0.0624962228185206,0.5211076736450195
164,-0.042709966118166104,0.324928879737854
165,-0.040563847333519004,-1.6083388328552246
166,-0.056754262145839215,1.211428165435791
167,-0.05451075745271222,1.488688588142395
169,-0.08153282304896194,-1.3096168041229248
173,-0.09023379736563285,
174,-0.03841652451560315,0.782875657081604
176,-0.05991698411900233,1.6001849174499512
178,0.05876940842214784,5.137494087219238
183,-0.015421041181953001,
184,-0.02674063836831507,-0.3242831230163574
185,-0.041857136725277994,0.8370338678359985
186,-0.08736330058556079,-1.1354975700378418
187,-0.07574614713130676,-1.4003589153289795
188,-0.03625785493355852,2.550762176513672
189,0.01004798775896092,3.1065971851348877
193,-0.09770313088911406,-0.28768205642700195
194,-0.040635825600647144,-0.31316787004470825
195,-0.01451578483070647,2.268488645553589
198,-0.0805929920409127,
199,-0.1295998467346959,-2.231675148010254
203,-0.021022271432697203,1.6146365404129028
204,-0.000630385490619651,3.02079176902771
206,-0.019723647965287323,-0.02647864818572998
207,-0.03719867160949983,0.215028315782547
214,-0.047333059897679074,0.5296335220336914
217,-0.03538049115155113,2.858215570449829
218,-0.08886149385040654,-1.461533784866333
223,-0.04345734094402717,1.0819735527038574
224,-0.050637496503426443,0.6355894804000854
225,-0.047333059897679074,0.7386410236358643
226,-0.12391292624830537,-1.477492094039917
227,-0.13938199807496343,
228,-0.032875274324505474,1.0390664339065552
229,-0.0511403123387013,-0.02823007106781006
233,0.0044824842508285456,0.6627531051635742
234,0.06781053026513628,2.049396276473999
243,-0.03903275816254374,-0.6411080360412598
253,0.048620417487549014,4.221155166625977
254,0.03476607519815237,2.498551845550537
255,0.03279526217852608,3.2063074111938477
256,0.01670123683894216,5.857593059539795
258,-0.00475362688727161,0.2036522626876831
274,0.01382114419763843,1.3274106979370117
275,0.02484377954469222,0.8554130792617798
276,0.0639117031166335,4.9332594871521
277,-0.016526285905524116,-0.4592122435569763
283,0.00039093984228314414,0.5378672480583191
303,-0.04178390559177421,2.082568407058716
313,0.04315267578372958,5.655856609344482
315,0.08341035956498827,4.871612071990967
316,0.04966475528716227,3.757227659225464
317,0.04747562487022941,1.7576584815979004
318,-0.015803286656843114,2.159062623977661
319,0.038165850928636204,3.9756619930267334
326,0.05432880304547817,2.084622383117676
328,0.025540237278541305,3.7252917289733887
329,0.028578964609644892,1.1047859191894531
